Location,Date,Average temperature,Lowest temperature,Highest temperature,Precipitation,Wind speed,Dew point,Relative humidity,Vapor pressure,Spot atmospheric pressure,Sea-level pressure,Duration of bright sunshine,Solar radiation quantity,Maximum depth of snow cover,Maximum depth of new snowfall,Amount of cumulus,Amount of middle and lower cloud,Average temperature of ground,Total large evaporation,Toal low evaporation
108,2017-10-05,18.7,13.9,23.4,,2.1,9.6,56.4,12,1013.1,1023.2,6.4,7.21,,,8,3.1,18.7,2.2,3.1
108,2017-10-06,18.9,16.2,23.3,0.5,2.3,12.2,66.4,14.3,1008.9,1019,4.6,5.32,,,8.5,6.1,19.4,1.6,2.3
108,2017-10-07,21.9,16.9,28.8,0,1.2,15.2,67.6,17.3,1009.7,1019.6,6.2,9.17,,,7.5,7.1,23.9,2.1,3
108,2017-10-08,23,19.3,28.7,,1.4,16.2,66.9,18.4,1012,1021.9,10,9.32,,,4.8,4,25.3,2.2,3.2
108,2017-10-09,22.5,19.8,27.6,0,1.5,15.4,66,17.6,1011.4,1021.3,6.5,7.24,,,6.5,4,24.9,1.9,2.6
108,2017-10-10,21.4,18.6,24.8,0.4,1.3,17,76.9,19.4,1008.2,1018.1,1,3.75,,,9.3,6.9,22.1,1.2,1.6
108,2017-10-11,15.5,12.2,21.7,20,2.9,11.3,77.1,13.8,1008.1,1018.3,1.9,3.87,,,9.3,4.1,17.4,1.3,1.9
108,2017-10-12,11.4,8.8,,,2,5.9,71,9.3,1010.4,1020.9,,2.23,,,7.1,5.4,11.7,1,1.4
108,2017-10-13,12.8,6.1,18.9,,3.2,2.3,51,7.3,1012.1,1022.5,9.6,9.41,,,3.4,0,12.8,2.9,4.1
108,2017-10-14,14.4,9,20.5,,,0.8,42.8,6.6,1015.5,1025.8,10.6,10.58,,,4.9,1.1,13.5,2,2.8
108,2017-10-15,15.8,9,23,,1.7,2.7,42.5,7.5,1017.1,1027.3,9.3,9.97,,,5.4,0.9,15.3,2.6,3.7
108,2017-10-16,16.6,13.6,22,,1.7,5,47.6,8.8,1016.4,1026.6,5.3,7.3,,,7.9,4.1,17.2,2.3,3.2
108,2017-10-17,16.2,9.2,23.9,,1.3,4.4,47.1,8.5,1014.1,1024.4,10.3,10.3,,,0.4,0.1,16.2,2.5,3.6
108,2017-10-18,16.5,14.2,19.1,0.1,2.4,8.2,58.8,10.9,1012.9,1023.2,0.3,3.13,,,9.3,7,15.7,1.5,2.2
108,2017-10-19,17,11.9,23.2,,1.8,8.1,58.3,10.8,1009.2,1019.4,9.2,9.08,,,3.8,1.6,16.8,2,2.9
108,2017-10-20,17,11.1,24.2,,1.5,8,58.6,10.8,1008.8,1018.9,10.1,9.75,,,0.1,0.1,16.9,2.3,3.3
108,2017-10-21,17.6,11,25.2,,1.3,6.8,52.8,9.9,1007.6,1017.7,10.1,9.75,,,0,0,16.7,2.6,3.7
108,2017-10-22,16.3,11,23.5,,3.1,5.5,50.4,9,1004,1014.1,9.6,8.97,,,1.8,1.1,15.6,3.2,4.5
108,2017-10-23,13.7,8.6,20.6,,1.4,2.1,47,7.2,1007.8,1018.1,10.1,9.37,,,0,0,14.4,2.2,3.1
108,2017-10-24,14.4,9.9,20.9,,1.9,4.6,54.3,8.6,1013.6,1023.8,8.2,7.95,,,3,1.9,14.3,2,2.8
108,2017-10-25,14.4,9.5,20.6,,1.5,5.7,59,9.2,1014.5,1024.8,9.5,9.17,,,2.9,0,14.7,2.2,3.1
108,2017-10-26,14.5,10.7,18.1,,1.2,5.4,56.5,9,1011.3,1021.5,1.8,4.42,,,8.6,6.3,14.6,1.4,2
108,2017-10-27,16.9,11.9,24.2,,1.2,7.1,54.4,10.1,1009.6,1019.8,9.7,8.47,,,1.9,1.9,16.8,2.1,3
108,2017-10-28,17.2,10.6,24.8,,2,6.7,51.9,9.9,1009.8,1019.9,9.8,8.75,,,0.1,0,16.5,2.4,3.4
108,2017-10-29,11.5,6.3,17.2,,3.3,-0.8,45.6,6.5,1007.1,1017.5,7.3,7.94,,,0,0,12.1,3.1,4.5
108,2017-10-30,7.7,2.5,13.2,,2.4,-10.4,27.4,2.8,1015.1,1025.7,9.8,9.16,,,0,0,10.1,2.4,3.5
108,2017-10-31,10.4,3.6,16,,1.8,1.2,54.3,7,1014.6,1025.1,9.5,8.01,,,1.8,1.4,11.4,1.8,2.5
108,2017-11-01,14.4,11.5,18.1,,2.1,9.3,72.4,11.8,1010.4,1020.6,2,2.94,,,8.5,4.6,14.5,1.1,1.5
108,2017-11-02,15.5,14,18,1,1.6,11.7,78.8,13.8,1007.9,1018,1.2,2.28,,,8.8,6.4,14.6,0.9,1.2
108,2017-11-03,12.3,6.1,16.6,1.5,3.2,5.8,66,9.9,1009.3,1019.6,5.9,5.24,,,5.6,5.1,12.8,1.9,2.7
108,2017-11-04,7.8,4.5,13.7,,2.5,-2.9,47.9,5,1018.1,1028.7,9.6,8.3,,,2.4,2.4,8.6,1.9,2.8
108,2017-11-05,8.4,2.6,15.4,,1.5,-1.2,52.5,5.8,1018.3,1028.9,6.5,,,,3.3,3.3,7.9,1.3,1.9
108,2017-11-06,11.4,8,16.5,,1.5,4.6,64.5,8.5,1014.2,1024.6,5.9,6.24,,,5.5,5.3,11.9,1.4,2
108,2017-11-07,14.4,9.2,18.4,0,1.5,6.7,61.4,9.9,1010.4,1020.7,3.3,4.41,,,9.1,7.9,14.4,1.2,1.8
108,2017-11-08,13.1,6.9,17.2,0,3,2,53.3,8.1,1009.8,1020.1,8,7.21,,,3.9,3.9,13.9,2.6,3.7
108,2017-11-09,9.4,3.7,16.8,,1.2,-4.5,39.6,4.4,1013.5,1024,9.3,7.63,,,0,0,8.8,1.8,2.6
108,2017-11-10,9.8,5.3,15.9,7.5,3,1.1,56.3,7.2,1005.8,1016.2,1.5,2.05,,,4.4,3.1,8.3,1.4,2
108,2017-11-11,5.9,2.7,10.7,,2.2,-5.9,42.9,4,1011.1,1021.7,8.6,8.18,,,0,0,5.2,1.7,2.4
108,2017-11-12,5.3,0.3,11.4,,1.4,-2.8,57.1,5,1011.3,1021.9,8.6,6.72,,,1.5,0,3.8,1.3,1.9
108,2017-11-13,8.4,3.1,11.8,4.5,1.9,1.8,64.4,7.2,1006.7,1017.2,1.5,2.85,,,7.9,5.6,6.8,1.2,1.7
108,2017-11-14,7.5,2.9,11.4,,2.4,-4.8,42.5,4.4,1008.5,1019,8.5,7.48,,,1.9,1.9,6.1,2,2.8
108,2017-11-15,3.2,-1.1,6.5,,2.8,-10,38.3,2.9,1011.3,1022.1,8.6,7.34,,,4.1,4.1,2.6,1.8,2.6
108,2017-11-16,1,-3.4,6.4,,1.5,-15.3,30.3,1.9,1014.6,1025.5,8.6,7.66,,,0,0,1.6,1.8,2.6
108,2017-11-17,3,-1.6,5.8,0,2.2,-10.1,39.4,3,1009.2,1020,0,1.24,,,8.5,7.1,1.6,1.2,1.8
108,2017-11-18,-2.1,-4.8,2.6,,3.4,-15.1,38.5,2,1013,1024,8.6,7.97,,,0,0,0.4,1.6,2.2
108,2017-11-19,-1.6,-6.6,3.5,,2.2,-14.6,37.8,2,1016.4,1027.4,8,7.42,,,2.8,0.6,-0.8,1.5,2.2
108,2017-11-20,-0.4,-3.9,4.2,0,1.4,-8.8,55.3,3.3,1016,1026.9,,,,,3.5,2.5,-0.3,0.7,0.9
108,2017-11-21,1.3,-4.2,8.1,,1.4,-7.3,55.6,3.5,1015.7,1026.5,8.5,7.14,,,1.1,1.1,0.8,1.3,1.8
108,2017-11-22,4.3,0.6,10.8,0.5,2.4,-4.2,54.8,4.6,1007.8,1018.4,5.5,4.17,,,5.1,3.6,2.8,1.3,1.8
108,2017-11-23,0.9,-2.5,4.7,1.2,2.1,-9,49.3,3.2,1009.8,1020.6,6.8,5.25,1.5,1.5,4.8,4.4,0.9,1.1,1.5
108,2017-11-24,-0.4,-2.5,2.9,0,1.8,-7.2,62.5,3.7,1013.9,1024.8,7.9,6.34,,1.5,3.3,2.8,1.2,1.1,1.6
108,2017-11-25,3,-3.3,7.3,24,1.8,-0.6,77.6,6.3,1012.6,1023.3,2.4,2.08,,,7.5,7,1.1,0.5,0.7
108,2017-11-26,3.3,-0.3,7.6,,1.8,-2,71.6,5.5,1014.4,1025.2,6.8,5.95,,,4.3,4,3.5,1.1,1.5
108,2017-11-27,2.5,-2.9,9.5,,1.3,-6.5,53,3.8,1016.1,1026.9,,,,,0.9,0,1.9,1.2,1.7
108,2017-11-28,6.4,1.3,11.2,0.5,1.1,-0.1,64.1,6.2,1011.9,1022.5,3.4,4.21,,,8.4,6.6,3.9,0.9,1.3
108,2017-11-29,3.2,-1.8,8.1,0,2.8,-7.8,48.3,4,1015.3,1026.1,8.4,7.04,,,5.4,3.5,4.3,1.9,2.7
108,2017-11-30,-2.4,-5.2,2.7,,3.3,-19.6,26.8,1.3,1018,1029,,,,,2,1,-0.2,,
108,2017-12-01,-2.2,-7.6,3.1,0,1.6,-12.5,49.4,2.7,1019.9,1030.9,6.1,5.97,,,2.3,2.3,-1.9,0.9,1.3
108,2017-12-02,1.9,-4.6,8.1,,1.7,-5.6,59.9,4.1,1017.3,1028.1,6.7,6.33,,,3.8,3.8,0.4,1.1,1.5
108,2017-12-03,4.9,3.1,8.1,4,1.5,2.2,83.1,7.2,1012.5,1023.2,1.9,3.01,,,9,6.4,4.6,0.6,0.9
108,2017-12-04,-1.2,-6.1,4.5,0.1,3.4,-11.6,48.1,2.9,1012.2,1023.2,8.4,6.79,,,1.4,1,1.2,1.5,2.2
108,2017-12-05,-4.2,-8.2,-0.4,0.1,,-16.4,40.1,1.8,1012,1023,2.1,0.86,0.1,0.1,1.6,1.6,-2.7,,
108,2017-12-06,0.2,-4.5,6,1.2,,-4.7,72.6,4.5,1011.7,1022.5,7.7,6.14,1,1,7,5.8,0.4,0.7,1
108,2017-12-07,0.7,-3.5,4.6,,1.7,-5.9,64.5,4.2,1012,1022.8,7.4,5.85,,0.9,3.5,2,1.7,1.1,1.6
108,2017-12-08,-3.8,-7.1,-0.5,,1.8,-15.4,41.3,1.9,1013.2,1024.3,8.5,6.89,,,2.1,2.1,-1.7,1,1.4
108,2017-12-09,-0.5,-5.6,5.4,,1,-10.9,46.1,2.7,1009.6,1020.4,7.4,6.32,,,2.8,1.6,-1,1,1.4
108,2017-12-10,1.1,-2.5,6.7,4.1,2,-4.6,67.9,4.6,1004,1014.7,2.6,2.08,4.3,4.3,7,4.8,-0.2,1,1.4
108,2017-12-11,-7,-11,-2.5,,3.5,-18.3,40.5,1.5,1012.9,1024.1,8.6,7.01,,,0.3,0.3,-3.2,1,1.4
108,2017-12-12,-9.4,-12.3,-5.2,,2.1,-20.1,41.9,1.2,1019.3,1030.6,8.6,6.8,,,0,0,-6,0.8,1.1
108,2017-12-13,-8.7,-12,-4.4,,1.7,-19.7,42,1.3,1021.4,1032.8,8.6,6.81,,,0,0,-6.4,0.8,1.1
108,2017-12-14,-6.6,-11.2,-1.9,,0.9,-17.4,42.9,1.6,1020.9,1032.2,3.2,3.7,,,5.9,0,-5.4,0.5,0.8
108,2017-12-15,-3,-7.5,0.9,0,1,-11.7,52.6,2.6,1016,1027,0.6,2.41,,,7.3,4.4,-3,0.6,0.9
108,2017-12-16,-5.7,-8.1,-2.6,,3,-17.1,43.1,1.7,1016.7,1027.8,8.6,6.4,,,0,0,-4.4,1.2,1.7
108,2017-12-17,-6.7,-10.8,-2.3,,1.9,-18.9,38.1,1.4,1019.7,1030.9,8.6,6.51,,,1.1,1.1,-5.7,0.8,1.2
108,2017-12-18,-1.6,-5.9,3.3,3.4,1.2,-4.7,80,4.4,1015.9,1026.9,2.7,1.66,5.1,5.1,6.8,5.6,-1.6,0.5,0.7
108,2017-12-19,-3.9,-6.5,-1,,2.1,-13.5,49.4,2.2,1020.7,1031.8,8.6,6.61,,2.6,1,1,-2,1,1.4
108,2017-12-20,-3.9,-8.5,-0.1,0.2,1.1,-9.2,68,3.2,1020,1031.1,1.3,3.36,0.8,2.4,7.1,5.6,-2.6,0.5,0.7
108,2017-12-21,-0.9,-5.6,4.6,,1.2,-5.9,71.4,4,1020.3,1031.3,8.6,6.15,,2.2,0.4,0.4,-2.2,0.8,1.1
108,2017-12-22,3.4,-1.9,6.6,,1.1,-2.3,66.6,5.2,1015.3,1026.1,3.1,3.41,,0.8,8.4,8.4,0.4,0.7,1
108,2017-12-23,6.1,5,8.7,,1.1,2.1,75.8,7.1,1012,1022.6,3.9,3.28,,,8,7.4,1.7,0.6,0.8
108,2017-12-24,2.9,-0.6,5.7,20,1.9,0.1,82,6.3,1003.2,1013.9,0,0.7,,,6.6,5,1.5,0.7,0.9
108,2017-12-25,-2.1,-4.9,0.6,,2.8,-13.3,43.1,2.3,1012.2,1023.1,8.9,6.77,,,2.1,1.9,-1,1.1,1.6
108,2017-12-26,-3.8,-7.9,-1.1,,2.9,-16.2,41.8,2,1014.7,1025.8,8.6,6.72,,,0.3,0.3,-2.5,1.5,2.1
108,2017-12-27,-6.9,-10.3,-2.6,,1.9,-21.5,31.4,1.1,1019.3,1030.5,8.9,6.61,,,0,0,-4.6,1.1,1.5
108,2017-12-28,-2.1,-6.8,0.8,0,1.3,-12.4,47,2.6,1019,1030,3.3,3.79,,,8.5,8.5,-1.7,0.7,1
108,2017-12-29,2.1,-0.4,6,0,1.1,-3.5,67,4.8,1016.1,1027,4.1,3.87,,,4.6,4.6,0.4,0.7,0.9
108,2017-12-30,1.4,-1.2,4.5,0.7,0.9,-1.9,79.5,5.4,1013.9,1024.7,0,2.25,0.2,0.2,9.3,7.5,-0.2,0.5,0.6
108,2017-12-31,-0.3,-3.2,3.3,1,2.3,-9.7,54.4,3.2,1012.8,1023.7,8.5,6.63,1,1.2,1.9,1.5,0.2,1.2,1.7
108,2018-01-01,-1.3,-5.1,3.8,,1.4,-13.9,39.1,2.1,1016.8,1027.8,8.3,6.14,,,1,0.9,-1.7,1.1,1.6
108,2018-01-02,-1.8,-4.3,1.8,,1.8,-14.1,42,2.2,1018.1,1029.2,7.9,5.36,,,2.3,0,-2.3,1.3,1.9
108,2018-01-03,-4.7,-7.1,-0.4,,2.2,-15.8,42.3,1.8,1019.9,1031.1,8.6,6.56,,,3.6,0,-3.4,1,1.5
108,2018-01-04,-4.7,-8.7,-0.7,,1.4,-15.6,43,1.8,1016.5,1027.6,6.2,4.73,,,6.5,2.9,-3.3,0.8,1.1
108,2018-01-05,-3,-5.6,1.6,,1.7,-12.5,48.4,2.4,1010.3,1021.3,8.2,5.96,,,3.6,0.8,-2.6,0.9,1.3
108,2018-01-06,-2.8,-6.8,2.9,,1.5,-13.3,45.8,2.2,1012.9,1023.9,8.8,6.79,,,0,0,-3.1,1.1,1.5
108,2018-01-07,-0.8,-5.7,2.8,,0.8,-12.3,42.1,2.4,1010.7,1021.6,3.1,3.75,,,7.5,5.5,-2.2,0.8,1.1
108,2018-01-08,1.3,-1.2,4,0.9,1.8,-8.1,51.9,3.4,1000.6,1011.3,0.5,2.39,1,1,9,6.1,0.4,0.9,1.3
108,2018-01-09,-4.2,-6.1,-1.2,0.5,2.9,-11.1,59.4,2.7,1002.8,1013.7,8.4,5.6,0.5,1,3.5,3.1,-1.2,0.7,1.1
108,2018-01-10,-7.5,-10.3,-4.8,0.3,3,-16.1,52,1.8,1007.9,1019.1,8.8,6.85,0.3,0.8,0.9,0.9,-2.9,0.9,1.4
108,2018-01-11,-11.1,-13.6,-7.4,,2.8,-19.6,49.8,1.3,1015.9,1027.3,8.7,6.8,,,0.4,0.4,-5.6,0.7,1
108,2018-01-12,-10.2,-15.3,-5.4,0,1.7,-22.9,35.4,1,1020.6,1032,8.8,7.11,,,2.3,2.3,-6.1,0.8,1.1
108,2018-01-13,-4.4,-6.6,-1.2,0.4,0.8,-9.8,67.3,3,1021.1,1032.3,0.9,2.8,0.6,0.6,8.3,7.8,-2.8,0.4,0.6
108,2018-01-14,0.6,-4.4,5.4,,1.2,-5.6,64.1,4,1017.9,1028.8,5.6,4.55,,,7,7,-1.1,0.8,1.1
108,2018-01-15,4.7,1.8,7.7,0.2,1.4,-2,63.9,5.4,1012.8,1023.5,6.5,4.67,,,7.6,3.5,1.5,0.8,1.2
108,2018-01-16,3.5,0.1,6.8,0,0.7,-3.9,59.1,4.6,1007.6,1018.3,0.5,2.4,,,9.8,7.6,0.7,0.6,0.9
108,2018-01-17,4.5,2.4,8.7,,1.2,-1.8,64.1,5.4,1007.2,1017.9,4.8,4.17,,,7.4,5.8,1.7,0.9,1.2
108,2018-01-18,2.1,0.3,4.5,0,1.9,-5.5,59.6,4.3,1012.9,1023.7,,,,,8.6,4.9,1.3,0.9,1.4
108,2018-01-19,1,-2.5,5.5,,1.6,-10.6,43,2.8,1013.5,1024.3,8.7,6.56,,,3.8,0,0.3,1.2,1.7
108,2018-01-20,2.2,-1,6.9,,1.6,-5.3,57.6,4.2,1012,1022.7,5.3,4.51,,,5.1,5.1,0.2,1,1.4
108,2018-01-21,0.4,-3.7,5.5,,1,-13.6,36.6,2.2,1012.7,1023.6,8.2,5.88,,,2,1,-0.5,1.2,1.7
108,2018-01-22,0.2,-5.3,4,3.3,1.5,-8.8,56.5,3.5,1005.2,1016,0.7,1.91,1,1,9.4,8,-0.2,0.7,0.9
108,2018-01-23,-11.7,-14.6,-5.3,,3.7,-22.4,42,1.1,1013.4,1024.8,9.1,7.62,,1,0.3,0.3,-4.4,0.9,1.3
108,2018-01-24,-14.2,-16.3,-10.7,,3.4,-27.6,31.6,0.7,1018.3,1029.9,8.9,7.73,,0.9,0,0,-8.3,0.8,1.2
108,2018-01-25,-14,-16.4,-9.5,,2.8,-27,32.6,0.7,1019.1,1030.7,8.3,7.28,,0.7,3.6,0,-8.5,0.8,1.1
108,2018-01-26,-14.8,-17.8,-10.7,,2.6,-27,34.9,0.7,1018.9,1030.5,,,,0.5,0,0,-9.3,0.6,0.9
108,2018-01-27,-9.9,-15.9,-3.5,,1.4,-22,37.4,1.1,1017.8,1029.2,9,7.5,,0.3,1.8,1.1,-7.5,1,1.4
108,2018-01-28,-6.3,-9.3,-1.2,,2.6,-19.2,36,1.4,1011.6,1022.8,7.6,6.38,,,3.3,1.6,-4.4,1.2,1.7
108,2018-01-29,-8.5,-11.6,-4.7,,2.7,-21.5,35,1.1,1013,1024.2,8.9,7.68,,,0.1,0.1,-6.2,1,1.5
108,2018-01-30,-5.3,-11.4,-0.8,2.9,1.3,-12,62,2.8,1014.7,1025.8,5.6,5.41,3.5,3.5,5.8,4.5,-4.6,0.7,0.9
108,2018-01-31,-2.6,-5.2,0,0,1.6,-11.3,54.5,2.7,1016.6,1027.7,1.8,3.9,,3.5,7.4,3.4,-1.8,0.9,1.2
108,2018-02-01,-4,-8.8,1.2,,1.6,-15,44.1,1.9,1018.3,1029.4,9.1,8.09,,1.6,0,0,-3.1,1.1,1.6
108,2018-02-02,-2.4,-7.6,3.8,,1.6,-11.7,51.1,2.5,1017.5,1028.5,8.8,7.29,,,1.9,1.1,-2.8,1.2,1.8
108,2018-02-03,-7.3,-10.4,-2.1,0.5,3.8,-17.1,47,1.7,1017.2,1028.4,9.1,13.65,0.3,0.3,1.3,1.3,-3.7,1.4,2
108,2018-02-04,-9.5,-12.8,-5.2,,3.1,-20.7,40.9,1.2,1017.3,1028.7,9.1,13.65,,,0,0,-6.6,1.3,1.8
108,2018-02-05,-9.4,-11.8,-5.1,,3,-21.5,37.8,1.1,1015.1,1026.4,9.3,14.31,,,0.1,0.1,-6.8,1.5,2.2
108,2018-02-06,-10.1,-12.8,-5.8,,3.1,-22.4,36.5,1,1014.4,1025.7,9,14.13,,,1.1,1.1,-6.9,1.2,1.8
108,2018-02-07,-8,-13.4,-1.6,,1.5,-20.1,39.8,1.2,1015.4,1026.7,9.2,13.39,,,1,0,-6.1,1.3,1.9
108,2018-02-08,-4.4,-9.7,2,,1.2,-15.7,43.3,1.8,1014,1025.1,9.2,13.05,,,0.3,0,-3.9,1.5,2.2
108,2018-02-09,0.4,-5.3,6.1,,1.1,-11.1,43.9,2.8,1011.8,1022.6,2.2,6.56,,,9.1,7.1,-1.3,1.1,1.6
108,2018-02-10,-0.5,-6.9,3.2,,3,-12.1,47.4,3.1,1010.9,1021.8,5.3,9.41,,,6.5,3.4,0.2,1.8,2.6
108,2018-02-11,-6.1,-9.5,-2.2,0,2.7,-17.3,42.5,1.7,1011.3,1022.4,6.6,12.26,,,3.5,2.1,-3.4,1.4,2
108,2018-02-12,-5.8,-9.6,-1.8,0,2.7,-17.5,40.8,1.7,1011,1022.1,8.7,13.74,,,4.1,4.1,-3.2,1.5,2.1
108,2018-02-13,-0.8,-7.4,4.3,,2.7,-9.1,54.5,3.2,1011,1021.9,8.3,13.72,,,3.1,3.1,-1.5,1.8,2.6
108,2018-02-14,3.5,-0.7,8.7,,2.6,-6.3,51,4.1,1006.3,1017,3.3,6.92,,,7.4,2.6,1.7,1.3,1.9
108,2018-02-15,-0.7,-3.7,4,,2.5,-17.4,28,1.6,1011.5,1022.4,,,,,3.8,0,0.9,2.3,3.3
108,2018-02-16,-1.1,-5.5,4.9,,2.1,-13.7,40.1,2.3,1008.1,1019,9.7,14.1,,,3.3,0.8,-0.1,2.3,3.3
108,2018-02-17,-3,-7.1,1.4,,2.9,-20.6,25.6,1.2,1014.1,1025.1,9,15.8,,,1.9,0,-0.8,2.2,3.2
108,2018-02-18,-0.4,-4.9,5.2,,1.3,-17.7,26.9,1.6,1015.5,1026.4,7.2,11.22,,,7.4,1.1,-0.1,1.9,2.7
108,2018-02-19,1.8,-1.9,6.8,,1.5,-8.2,48.6,3.4,1013.3,1024.2,4.8,10.08,,,6.1,1.1,1.1,1.4,2
108,2018-02-20,0.9,-2.4,5.5,,2.5,-13,41,2.5,1012.8,1023.6,8.3,13.56,,,5,0,1.2,2.6,3.7
108,2018-02-21,-0.9,-4.5,4.4,,2.3,-17.1,31.5,1.7,1013.4,1024.4,9.8,15.28,,,1.6,0,0.2,2.3,3.3
108,2018-02-22,1.3,-3.9,5.4,0.4,2.2,-6,59,4,1010.6,1021.4,6.4,9.45,0.4,0.4,5.8,5,0.2,1.3,1.9
108,2018-02-23,4.2,-0.3,8.6,3.7,1.9,1,81.1,6.6,1010.1,1020.8,4.8,9.43,3.7,4.1,7,7,2.4,1.3,1.9
108,2018-02-24,2.4,-1.1,7.2,,2.1,-8.3,49.4,3.6,1016.8,1027.6,7.6,13.09,,,6.1,1.1,2.8,2.2,3.1
108,2018-02-25,1.9,-1.6,7.9,,1.7,-10.8,40.6,2.7,1014.6,1025.4,9.2,16.17,,,2.4,2.4,2.7,2.5,3.5
108,2018-02-26,3.1,-3.2,10.4,,1.4,-9.3,43.1,3,1013.9,1024.7,10.2,16.36,,,1.3,1.1,2.5,2.5,3.5
108,2018-02-27,4.2,0.6,6.9,,0.9,-5.7,48.8,4.1,1012.5,1023.2,0,2.86,,,8.5,7.4,0.4,1,1.4
108,2018-02-28,4.6,1.8,7.8,25,2,-0.2,73.3,6.1,1000.1,1010.7,0,1.71,,,10,7.8,2,0.6,0.8
108,2018-03-01,-0.2,-4.3,3,0.5,3.8,-7.3,61.9,3.9,1001.1,1011.8,8.7,17.94,,,4.4,3.4,2.5,2.1,3
108,2018-03-02,-0.7,-6.7,5.4,,1.5,-15.2,34,1.9,1007.5,1018.3,10.3,19.03,,,2.4,2.3,1.1,2.5,3.6
108,2018-03-03,7.9,-0.1,16.2,0,1.5,-7.5,38.1,4,1003.7,1014.2,10.1,18.04,,,4.1,3.9,5.3,3.4,4.8
108,2018-03-04,9.8,7.6,11.9,11.5,1.2,7.9,89.1,10.7,1003,1013.3,0,3.92,,,10,9.1,7.6,0.7,1
108,2018-03-05,5.5,1.3,11.4,3.5,2,-0.5,67.5,6,1007.9,1018.4,7,13.8,,,5.4,3.3,6.7,2,2.9
108,2018-03-06,4.5,-1.1,10.9,,1.6,-7,46.8,3.7,1018.8,1029.5,10.6,17.85,,,2.1,0,4.1,3,4.2
108,2018-03-07,6.4,2.2,10.7,0.5,1.8,-2.7,54,5.1,1016.7,1027.3,3,10.76,,,8.6,4.3,4.4,1.7,2.4
108,2018-03-08,4.6,2.7,9.7,4,1.9,0.6,76,6.4,1009.3,1019.9,5.1,10.3,,,8.1,7.5,6.5,1.5,2.1
108,2018-03-09,4.5,1.4,9.6,,1.5,-2,63.3,5.3,1012.6,1023.3,5.1,10.22,,,5.9,5.9,4.3,1.5,2.2
108,2018-03-10,4.6,0.7,9.7,,2,-1.7,65.8,5.5,1013.4,1024.1,7.9,16.45,,,4.6,4.6,5,2.3,3.2
108,2018-03-11,6.4,2.7,12.2,,2,-4.4,51.3,4.6,1014.7,1025.3,9.8,18.11,,,2.8,2.8,7.2,2.9,4.2
108,2018-03-12,8,2.2,15.5,,1.4,-3.3,45.8,4.9,1011.8,1022.3,7.5,13.92,,,3.3,3.1,6.6,2.4,3.5
108,2018-03-13,12.4,5.2,18.8,,1.8,4.6,60.5,9,1008.3,1018.6,6.6,14.17,,,5.9,5.9,10.6,2.6,3.8
108,2018-03-14,17,13.6,22.1,,2.3,8.5,58.8,11.1,1008.5,1018.6,7.9,15.46,,,6,6,14.8,3.3,4.7
108,2018-03-15,12.4,8.4,16.6,27,2.1,11,92.1,13.3,1003.3,1013.5,0,1.47,,,9.8,8.3,12.2,0.7,1
108,2018-03-16,7.1,3.6,12.2,,1.9,-3.9,46.9,4.6,1014.1,1024.7,11,21.16,,,1.4,1.4,9.6,3.1,4.4
108,2018-03-17,6.6,0.5,14,,1.5,-4.2,48,4.6,1016.6,1027.2,9.1,17.87,,,4.4,1.3,7.9,2.7,3.8
108,2018-03-18,8.2,5.4,12.5,0.5,1.2,-0.4,55.9,6,1010.7,1021.2,0,7.19,,,9.8,8.5,8.8,1.3,1.9
108,2018-03-19,8,6.2,10.4,1,2.5,1.2,64.5,6.9,1006.2,1016.7,0,3.33,,,9.5,6.8,7.5,1.8,2.5
108,2018-03-20,4.7,1.6,9.1,,3.4,-7.8,39.9,3.4,1013,1023.7,5.4,14.36,,,6.9,0,5.2,2.5,3.6
108,2018-03-21,2.1,1.1,5.3,1,1.7,-4.6,64.1,4.5,1007.5,1018.2,0.4,6.13,,,9.9,5.9,3.2,0.9,1.4
108,2018-03-22,4.9,0.6,11.6,,2.2,-2.7,61.5,5,1004.4,1015,10.7,20.45,,,1.5,0.5,7.3,2.9,4.2
108,2018-03-23,6.1,1.8,12.5,,2,-3,55.3,4.9,1009.1,1019.7,8.7,19.08,,,4.6,3.4,7.6,2.9,4.2
108,2018-03-24,7.6,4,13.1,,2.1,0.3,61.9,6.5,1011.8,1022.3,7.2,15.35,,,6.3,6.3,9.5,2.2,3.2
108,2018-03-25,9.6,4.6,16.9,,1.7,2.7,65.6,7.5,1014,1024.5,9.5,19.12,,,3.4,3.4,11.2,3,4.2
108,2018-03-26,11,5.3,18.1,,1.9,3.3,64.5,7.8,1011.3,1021.7,9.1,19.06,,,3.6,3.6,12.2,3.4,4.9
108,2018-03-27,13.3,7.7,20,,1.6,5.6,61.1,9.3,1007.3,1017.6,7.9,15.98,,,2.6,2.6,12.6,2.9,4.2
108,2018-03-28,14,9.4,19,,2.2,7.5,66.4,10.4,1006.6,1016.8,5.2,13.94,,,4.3,4.3,13.1,2.5,3.6
108,2018-03-29,15.4,11.8,21.1,,1.6,8.6,66.3,11.2,1009.6,1019.8,7.5,14.86,,,4.9,3.9,15.1,3,4.2
108,2018-03-30,14.8,9.8,21.9,,1.7,4.8,55.6,8.8,1012.7,1023,9.9,20.01,,,0.5,0.5,14.9,4,5.7
108,2018-03-31,14,9.3,20.1,,1.9,3.6,52.9,8,1009.9,1020.1,7.9,17.08,,,4.4,3,14.5,3.2,4.6
